21/12/2020;08:16:35;269;173;144;103;56;72
21/12/2020;08:16:36;34;24;41;37;20;69
21/12/2020;08:16:37;28;24;43;42;35;67
21/12/2020;08:16:38;34;32;50;52;49;73
21/12/2020;08:16:39;43;43;60;64;60;110
21/12/2020;08:16:40;56;58;91;123;181;283
21/12/2020;08:16:41;149;179;221;276;362;466
21/12/2020;08:16:42;296;335;376;441;529;594
21/12/2020;08:16:43;433;477;504;556;620;616
21/12/2020;08:16:44;506;543;559;603;660;620
21/12/2020;08:16:45;532;569;585;624;675;621
21/12/2020;08:16:46;548;583;594;626;658;594
21/12/2020;08:16:47;537;569;582;610;637;571
21/12/2020;08:16:48;522;553;568;593;614;550
21/12/2020;08:16:49;505;535;552;573;591;493
21/12/2020;08:16:50;483;500;491;470;418;266
21/12/2020;08:16:51;332;328;320;284;205;72
21/12/2020;08:16:52;176;160;155;113;46;0
21/12/2020;08:16:53;54;43;61;41;4;0
21/12/2020;08:16:54;17;14;38;23;0;0
21/12/2020;08:16:55;2;0;25;11;0;0
21/12/2020;08:16:56;0;0;16;5;0;3
21/12/2020;08:16:57;0;0;17;11;0;16
21/12/2020;08:16:58;3;2;25;21;4;29
21/12/2020;08:16:59;13;14;36;36;21;46
21/12/2020;08:17:00;25;26;47;49;38;62
21/12/2020;08:17:01;38;40;59;63;63;90
21/12/2020;08:17:02;52;58;93;128;180;282
21/12/2020;08:17:03;181;215;257;317;406;500
21/12/2020;08:17:04;361;407;445;508;591;612
21/12/2020;08:17:05;489;529;547;591;651;622
21/12/2020;08:17:06;529;567;583;623;675;624
21/12/2020;08:17:07;547;583;596;626;663;592
21/12/2020;08:17:08;534;568;581;608;639;568
21/12/2020;08:17:09;516;549;564;588;607;541
21/12/2020;08:17:10;495;526;543;543;515;375
21/12/2020;08:17:11;391;392;381;348;278;135
21/12/2020;08:17:12;196;182;176;134;59;0
21/12/2020;08:17:13;49;40;60;41;2;0
21/12/2020;08:17:14;13;12;36;21;0;0
21/12/2020;08:17:15;0;0;23;10;0;0
21/12/2020;08:17:16;0;0;16;8;0;12
21/12/2020;08:17:17;0;0;23;18;0;22
21/12/2020;08:17:18;10;11;35;35;18;43
21/12/2020;08:17:19;25;25;47;49;36;60
21/12/2020;08:17:20;38;41;60;65;65;96
21/12/2020;08:17:21;59;73;112;153;212;321
21/12/2020;08:17:22;211;247;289;350;440;532
21/12/2020;08:17:23;380;427;463;520;592;614
21/12/2020;08:17:24;493;532;550;593;646;616
21/12/2020;08:17:25;528;567;582;619;673;623
21/12/2020;08:17:26;545;583;594;623;655;591
21/12/2020;08:17:27;534;569;581;606;634;568
21/12/2020;08:17:28;519;553;567;589;617;547
21/12/2020;08:17:30;503;536;552;570;583;478
21/12/2020;08:17:30;481;498;487;463;411;258
21/12/2020;08:17:31;338;336;326;290;213;78
21/12/2020;08:17:33;191;180;173;131;54;0
21/12/2020;08:17:33;74;65;77;54;11;0
21/12/2020;08:17:35;26;24;47;32;0;0
21/12/2020;08:17:36;12;11;34;22;0;0
21/12/2020;08:17:37;3;4;28;15;0;0
21/12/2020;08:17:38;0;0;21;9;0;0
21/12/2020;08:17:39;0;0;18;11;0;7
21/12/2020;08:17:40;0;0;20;17;0;23
21/12/2020;08:17:41;0;2;28;25;4;26
21/12/2020;08:17:42;9;11;34;31;20;40
21/12/2020;08:17:43;18;20;42;45;34;55
21/12/2020;08:17:44;28;31;53;57;43;66
21/12/2020;08:17:45;40;44;63;69;66;93
21/12/2020;08:17:46;52;57;82;112;156;252
21/12/2020;08:17:47;131;162;206;260;335;444
21/12/2020;08:17:48;276;318;361;426;518;584
21/12/2020;08:17:49;422;470;498;551;614;613
21/12/2020;08:17:50;503;543;560;601;652;618
21/12/2020;08:17:51;532;572;586;623;675;622
21/12/2020;08:17:52;547;585;596;625;662;592
21/12/2020;08:17:53;536;572;584;609;636;571
21/12/2020;08:17:54;522;557;570;592;615;553
21/12/2020;08:17:55;507;540;555;574;597;515
21/12/2020;08:17:56;488;515;507;487;443;288
21/12/2020;08:17:57;352;352;342;307;231;92
21/12/2020;08:17:58;190;178;170;130;52;0
21/12/2020;08:17:59;56;49;65;46;6;0
21/12/2020;08:18:00;19;18;41;27;0;0
21/12/2020;08:18:01;6;6;30;17;0;0
21/12/2020;08:18:02;0;0;22;10;0;3
21/12/2020;08:18:03;0;0;21;16;0;13
21/12/2020;08:18:04;2;4;30;27;4;27
21/12/2020;08:18:05;12;16;39;39;20;44
21/12/2020;08:18:06;26;29;51;55;38;61
21/12/2020;08:18:07;37;42;63;67;60;84
